Best parameters: {'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 2}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 4}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 6}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 8}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 10}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 2}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 4}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 6}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 8}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 10}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 16, 'n_estimators': 1}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 16, 'n_estimators': 2}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 16, 'n_estimators': 4}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 16, 'n_estimators': 6}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 16, 'n_estimators': 8}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 16, 'n_estimators': 10}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 22, 'n_estimators': 1}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 22, 'n_estimators': 2}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 22, 'n_estimators': 4}
0.872 (+/-0.016) for {'learning_rate': 0.01, 'max_depth': 22, 'n_estimators': 6}
